Region,SiteCode,SiteName,SiteLat,SiteLong,maxDHW,maxSSTA,Mean_SST_cl,SD_SST_cl,Jan_SST_cl,Feb_SST_cl,Mar_SST_cl,Apr_SST_cl,May_SST_cl,Jun_SST_cl,Jul_SST_cl,Aug_SST_cl,Sep_SST_cl,Oct_SST_cl,Nov_SST_cl,Dec_SST_cl
GBR,CS182,Osprey Lagoon entrance bommie,-13.89028,146.57249,11.81999974,2.279999949,26.80084912,1.458508911,28.56386566,28.68905067,28.17437553,27.57245445,26.72942162,25.71381187,25.09439468,24.71915817,25.05553627,25.96592522,27.13151932,28.20067596
GBR,CS183,Osprey Lagoon Entrance NW Bommie,-13.88715,146.56733,11.81999974,2.279999949,26.80084912,1.458508911,28.56386566,28.68905067,28.17437553,27.57245445,26.72942162,25.71381187,25.09439468,24.71915817,25.05553627,25.96592522,27.13151932,28.20067596
GBR,CS184,Osprey Reef North Horn,-13.80117,146.54613,11.72999974,2.359999947,26.80534379,1.457273647,28.56645584,28.69410324,28.16267776,27.5825386,26.72924805,25.72034264,25.10920143,24.72167587,25.05405617,25.97464371,27.13842201,28.21076012
GBR,CS185,Ashmore reef lagoon South,-10.44533,144.44918,9.039999798,2.329999948,26.85025056,1.375671951,28.47545433,28.30287552,28.28209114,27.63739395,26.89630699,25.91532326,25.10211754,24.83685875,25.16364479,26.13378716,27.22397804,28.23317528
GBR,CS186,Ashmore South bommie,-10.43422,144.45243,9.489999788,2.359999947,26.85519663,1.375965565,28.48368073,28.31578827,28.29178047,27.63805389,26.90604973,25.92380905,25.11531448,24.84741402,25.15530586,26.13070488,27.22706985,28.22738838
GBR,CS187,Ashmore South lagoon shore,-10.44136,144.45293,9.489999788,2.359999947,26.85519663,1.375965565,28.48368073,28.31578827,28.29178047,27.63805389,26.90604973,25.92380905,25.11531448,24.84741402,25.15530586,26.13070488,27.22706985,28.22738838
GBR,CS188,Ashmore Rf Lagoon Bommie SW,-10.44121,144.43016,9.039999798,2.329999948,26.85025056,1.375671951,28.47545433,28.30287552,28.28209114,27.63739395,26.89630699,25.91532326,25.10211754,24.83685875,25.16364479,26.13378716,27.22397804,28.23317528
GBR,CS189,Ashmore Rf Lagoon SW,-10.44697,144.43347,9.039999798,2.329999948,26.85025056,1.375671951,28.47545433,28.30287552,28.28209114,27.63739395,26.89630699,25.91532326,25.10211754,24.83685875,25.16364479,26.13378716,27.22397804,28.23317528
GBR,CS190,Ashmore Reef lagoon east entrance,-10.29918,144.5215,9.599999785,2.499999944,26.86154461,1.356393227,28.45208168,28.36880112,28.26181221,27.6391983,26.91089821,25.95889091,25.13698959,24.89119339,25.17126846,26.16324425,27.20582771,28.17832947
GBR,CS191,Ashmore Rf Lagoon East Bommie,-10.37448,144.53391,9.889999779,2.419999946,26.85943858,1.370277924,28.47990417,28.3433876,28.28833961,27.63637161,26.91171455,25.9386673,25.12874031,24.86797142,25.15364838,26.13969803,27.21935654,28.20546341
GBR,CS193,Boot Rf Wall,-10.03875,144.69198,11.22999975,2.67999994,26.93708738,1.339617736,28.46976852,28.44974518,28.25564766,27.70543861,26.98829079,26.06278038,25.24101257,24.95113945,25.26244545,26.26550674,27.32054138,28.27273178
GBR,CS195,Ashmore North East Entrance,-10.21767,144.5954,10.08999977,2.579999942,26.87410704,1.352865153,28.45299721,28.39409637,28.26416397,27.6483078,26.92671013,25.97350693,25.15509605,24.90917969,25.18007469,26.18465233,27.22177505,28.17872429
GBR,CS197,Ashmore NE Bommie,-10.22733,144.58955,10.08999977,2.579999942,26.87410704,1.352865153,28.45299721,28.39409637,28.26416397,27.6483078,26.92671013,25.97350693,25.15509605,24.90917969,25.18007469,26.18465233,27.22177505,28.17872429
GBR,CS198,Ashmore NE Lagoon,-10.23257,144.58684,10.08999977,2.579999942,26.87410704,1.352865153,28.45299721,28.39409637,28.26416397,27.6483078,26.92671013,25.97350693,25.15509605,24.90917969,25.18007469,26.18465233,27.22177505,28.17872429
GBR,CS2,Brodie Cay NW,-19.28441,152.21197,3.049999932,1.859999958,25.77992646,1.537101042,27.59571457,27.81085968,27.32761192,26.66254044,25.75779915,24.65338707,23.89141655,23.52952957,23.95368004,25.04765701,26.122509,27.00641251
GBR,CS20,Cato Bommies,-23.24725,155.53484,0,2.209999951,24.52888711,1.707727245,26.84804344,26.69180107,26.14789963,25.57161903,24.56403542,23.50768852,22.50357628,22.19320869,22.40988922,23.39816284,24.5886879,25.92203331
GBR,CS200,Ashmore Reef NW slope,-10.11558,144.45777,10.75999976,2.66999994,26.87723176,1.335321796,28.41783714,28.37707901,28.22650337,27.66456413,26.92898941,26.00663185,25.15903473,24.91282082,25.23048592,26.20267487,27.22164345,28.17851639
GBR,CS204,Boot Rock NW,-10.10505,144.68513,10.83999976,2.659999941,26.91428947,1.350662576,28.47512054,28.43776703,28.27803993,27.68353844,26.96684074,26.01703644,25.20407486,24.93574142,25.22054672,26.2355442,27.28116226,28.2360611
GBR,CS207,Boot Reef Longiceps Point,-9.96837,144.69456,11.41999974,2.68999994,26.94730139,1.335212772,28.46889496,28.45705414,28.24040604,27.71546173,26.9980278,26.08209419,25.25865746,24.95809555,25.27793312,26.2793541,27.34004021,28.29159737
GBR,CS208,Boot Reef Lagoon E,-9.98877,144.6913,11.41999974,2.68999994,26.94730139,1.335212772,28.46889496,28.45705414,28.24040604,27.71546173,26.9980278,26.08209419,25.25865746,24.95809555,25.27793312,26.2793541,27.34004021,28.29159737
GBR,CS209,Boot Reef Lagoon W,-9.97456,144.694,11.41999974,2.68999994,26.94730139,1.335212772,28.46889496,28.45705414,28.24040604,27.71546173,26.9980278,26.08209419,25.25865746,24.95809555,25.27793312,26.2793541,27.34004021,28.29159737
GBR,CS21,Cato Lagoon 1,-23.25288,155.55157,0,2.209999951,24.5015521,1.712073673,26.82969856,26.6728611,26.12661934,25.53635979,24.55033684,23.49220276,22.47520447,22.15865898,22.36916924,23.36578178,24.54692841,25.894804
GBR,CS211,Kate's Garden,-10.14414,144.57626,10.66999976,2.67999994,26.892989,1.340376779,28.44010735,28.40600395,28.24790192,27.67082977,26.94843674,26.01302147,25.18183899,24.9277401,25.22218895,26.21567917,27.24686813,28.19525146
GBR,CS212,Ashmore Reef NE bommy,-10.14587,144.57013,10.66999976,2.67999994,26.892989,1.340376779,28.44010735,28.40600395,28.24790192,27.67082977,26.94843674,26.01302147,25.18183899,24.9277401,25.22218895,26.21567917,27.24686813,28.19525146
GBR,CS22,Cato Lagoon South,-23.25491,155.55458,0,2.209999951,24.5015521,1.712073673,26.82969856,26.6728611,26.12661934,25.53635979,24.55033684,23.49220276,22.47520447,22.15865898,22.36916924,23.36578178,24.54692841,25.894804
GBR,CS23,Cato North,-23.24037,155.55701,0,2.189999951,24.51579682,1.707610825,26.8329277,26.67802048,26.14003754,25.55498123,24.55920601,23.50468826,22.49036026,22.17710876,22.3944664,23.37962532,24.57587433,25.90226555
GBR,CS24,Cato Entrance,-23.24474,155.54233,0,2.209999951,24.52888711,1.707727245,26.84804344,26.69180107,26.14789963,25.57161903,24.56403542,23.50768852,22.50357628,22.19320869,22.40988922,23.39816284,24.5886879,25.92203331
GBR,CS25,Cato Passage,-23.244,155.54893,0,2.209999951,24.52888711,1.707727245,26.84804344,26.69180107,26.14789963,25.57161903,24.56403542,23.50768852,22.50357628,22.19320869,22.40988922,23.39816284,24.5886879,25.92203331
GBR,CS3,Brodie Cay SE,-19.28476,152.22077,3.049999932,1.859999958,25.77992646,1.537101042,27.59571457,27.81085968,27.32761192,26.66254044,25.75779915,24.65338707,23.89141655,23.52952957,23.95368004,25.04765701,26.122509,27.00641251
GBR,CS31,Bird Lagoon,-22.17677,155.47404,0.159999996,2.259999949,24.90567207,1.595313461,26.90298462,26.96540833,26.46471977,25.94218826,24.84247398,23.81990433,22.95300865,22.71605682,22.94767761,24.0104084,25.05153084,26.25170326
GBR,CS32,Bird Reef Hole,-22.17306,155.47695,0.159999996,2.259999949,24.90567207,1.595313461,26.90298462,26.96540833,26.46471977,25.94218826,24.84247398,23.81990433,22.95300865,22.71605682,22.94767761,24.0104084,25.05153084,26.25170326
GBR,CS33,Bird North Bommie,-22.16356,155.45378,0.159999996,2.259999949,24.90567207,1.595313461,26.90298462,26.96540833,26.46471977,25.94218826,24.84247398,23.81990433,22.95300865,22.71605682,22.94767761,24.0104084,25.05153084,26.25170326
GBR,CS34,Bird Inner West,-22.17084,155.45462,0.159999996,2.259999949,24.90567207,1.595313461,26.90298462,26.96540833,26.46471977,25.94218826,24.84247398,23.81990433,22.95300865,22.71605682,22.94767761,24.0104084,25.05153084,26.25170326
GBR,CS35,Bird NW Bommie,-22.16866,155.45081,0.159999996,2.259999949,24.90567207,1.595313461,26.90298462,26.96540833,26.46471977,25.94218826,24.84247398,23.81990433,22.95300865,22.71605682,22.94767761,24.0104084,25.05153084,26.25170326
