"site_code","site_name","latitude","longitude","SiteLong_rd","SiteLat_rd","Mean_SST_cl","SD_SST_cl","npp_mean","npp_min","npp_max","npp_sd","npp_interann_sd","npp_flag","wave_mean","wave_sd","wave_interann_sd","land_area_20km","reef_area_20km","pop2015_20km","depth","MMM","maxDHW","maxSSTA","Year_Pre","Year_Post","interval"
"CS208","Boot Reef Lagoon E",-9.98877,144.6913,144.7,-10,26.94730139,1.335212772,920.2723548,656.7412482,1351.236654,162.5752017,82.18932815,1,15.14208194,8.436268714,1.703930494,0,32.75,0,4.5,28.46889496,0,0,2015,2016,1
"CS209","Boot Reef Lagoon W",-9.97456,144.694,144.7,-10,26.94730139,1.335212772,920.2723548,656.7412482,1351.236654,162.5752017,82.18932815,1,15.14208194,8.436268714,1.703930494,0,32.75,0,5.5,28.46889496,0,0,2015,2016,1
"CS21","Cato Lagoon 1",-23.25288,155.55157,155.6,-23.3,24.5015521,1.712073673,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912,0.393033812,68.75,0,2.45,26.82969856,0,0,2013,2017,4
"CS211","Kate's Garden",-10.14414,144.57626,144.6,-10.1,26.892989,1.340376779,1416.711859,1022.389669,2055.839966,255.5951049,76.54050298,0,15.05151838,8.431238382,1.703990223,0,313.75,0,5,28.44010735,0,0,2015,2016,1
"CS212","Ashmore Reef NE bommy",-10.14587,144.57013,144.6,-10.1,26.892989,1.340376779,1416.711859,1022.389669,2055.839966,255.5951049,76.54050298,0,15.05151838,8.431238382,1.703990223,0,313.75,0,16,28.44010735,0,0,2015,2016,1
"CS22","Cato Lagoon South",-23.25491,155.55458,155.6,-23.3,24.5015521,1.712073673,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912,0.393033812,68.75,0,2.75,26.82969856,0,0,2013,2017,4
"CS23","Cato North",-23.24037,155.55701,155.6,-23.2,24.51579682,1.707610825,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912,0.393033812,68.75,0,8.5,26.8329277,0,0,2013,2017,4
"CS24","Cato Entrance",-23.24474,155.54233,155.5,-23.2,24.52888711,1.707727245,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912,0.393033812,68.75,0,13,26.84804344,0,0,2013,2017,4
"CS25","Cato Passage",-23.244,155.54893,155.5,-23.2,24.52888711,1.707727245,629.4140824,385.1713684,1030.933679,195.7355981,39.40935099,1,22.66322646,6.466156393,2.382823912,0.393033812,68.75,0,5.5,26.84804344,0,0,2013,2017,4
"CS3","Brodie Cay SE",-19.28476,152.22077,152.2,-19.3,25.77992646,1.537101042,564.1330742,383.1545773,802.5923262,117.7356309,20.4246317,1,17.36667143,5.19702676,2.06691991,0,45.25,0,7.75,27.81085968,0,0,2012,2016.9,4.9
"CS31","Bird Lagoon",-22.17677,155.47404,155.5,-22.2,24.90567207,1.595313461,580.9901406,334.729002,902.0167602,176.3548875,17.44008772,1,22.0038722,6.385676454,2.316460532,0.198057745,21.25,0,3,26.96540833,0,0,2013,2017,4
"CS32","Bird Reef Hole",-22.17306,155.47695,155.5,-22.2,24.90567207,1.595313461,580.9901406,334.729002,902.0167602,176.3548875,17.44008772,1,22.0038722,6.385676454,2.316460532,0.198057745,21.25,0,4.5,26.96540833,0,0,2013,2017,4
"CS33","Bird North Bommie",-22.16356,155.45378,155.5,-22.2,24.90567207,1.595313461,575.9786387,360.5034889,895.6859398,170.0854943,26.92609039,1,21.94326306,6.378090366,2.308605539,0.198057745,21.25,0,5,26.96540833,0,0,2013,2017,4
"CS34","Bird Inner West",-22.17084,155.45462,155.5,-22.2,24.90567207,1.595313461,575.9786387,360.5034889,895.6859398,170.0854943,26.92609039,1,21.94326306,6.378090366,2.308605539,0.198057745,21.25,0,0.8,26.96540833,0,0,2013,2017,4
"CS35","Bird NW Bommie",-22.16866,155.45081,155.5,-22.2,24.90567207,1.595313461,575.9786387,360.5034889,895.6859398,170.0854943,26.92609039,1,21.94326306,6.378090366,2.308605539,0.198057745,21.25,0,8,26.96540833,0,0,2013,2017,4
"CS36","Porpoise North",-22.1854,155.36165,155.4,-22.2,24.92428811,1.591256706,585.1824367,351.5465851,899.9001634,172.7519948,24.20485219,1,21.94304046,6.388902312,2.307469963,0.198057745,30,0,5.5,26.98642731,0,0,2013,2017,4
"CS38","Porpoise Anchorage",-22.18586,155.35576,155.4,-22.2,24.92428811,1.591256706,585.1824367,351.5465851,899.9001634,172.7519948,24.20485219,1,21.94304046,6.388902312,2.307469963,0.198057745,30,0,5,26.98642731,0,0,2013,2017,4
"CS39","Porpoise Lagoon",-22.18985,155.35547,155.4,-22.2,24.92428811,1.591256706,585.1824367,351.5465851,899.9001634,172.7519948,24.20485219,1,21.94304046,6.388902312,2.307469963,0.198057745,30,0,2.75,26.98642731,0,0,2013,2017,4
"CS4","Paget Cay Bommie",-19.23026,152.32594,152.3,-19.2,25.77003495,1.532849689,601.6063006,397.0929989,840.4508621,129.7249809,28.31174749,1,17.35930026,5.12246704,2.037208689,0,82,0,9.25,27.81147766,0,0,2012,2016.4,4.4
"CS42","Hilton Pool",-22.18602,155.17601,155.2,-22.2,24.98541991,1.594147576,582.5027663,363.6925018,913.1124626,168.4814121,29.20480387,1,21.79567544,6.370060722,2.288360089,0.1980227,27.25,0,2.8,27.08129311,0,0,2013,2017,4
"CS44","NW Wreck Reef",-22.17629,155.16463,155.2,-22.2,24.98541991,1.594147576,582.5027663,363.6925018,913.1124626,168.4814121,29.20480387,1,21.79567544,6.370060722,2.288360089,0.1980227,27.25,0,5.5,27.08129311,0,0,2013,2017,4
"CS45","North Wreck Reef",-22.17583,155.17796,155.2,-22.2,24.98541991,1.594147576,582.5027663,363.6925018,913.1124626,168.4814121,29.20480387,1,21.79567544,6.370060722,2.288360089,0.1980227,27.25,0,8.15,27.08129311,0,0,2013,2017,4
"CS48","Saumarez SW reef cay",-21.89729,153.53757,153.5,-21.9,25.52852774,1.625742406,619.0797192,377.4737286,878.7678432,134.8041352,32.66116562,1,18.83254999,5.951163069,2.116132183,0,32.5,0,9.5,27.68829918,0,0,2013,2017,4
"CS50","Saumarez SW",-21.91736,153.57968,153.6,-21.9,25.48824565,1.621326193,619.0797192,377.4737286,878.7678432,134.8041352,32.66116562,1,19.06294652,6.009452316,2.133660456,0,52.25,0,9,27.64962959,0,0,2013,2017,4
